"Category Pages","Category Pages"
"Enable Custom Lazy Load","Enable Custom Lazy Load"
"Use Lazy Loading Images","Use Lazy Loading Images"
"Lazy Load Script","Lazy Load Script"
"Preload Images","Preload Images"
"Desktop Preload Images Number","Desktop Preload Images Number"
"Tablet Preload Images Number","Tablet Preload Images Number"
"Mobile Preload Images Number","Mobile Preload Images Number"
"Preload Images Strategy","Preload Images Strategy"
"Preload Images Count","Preload Images Count"
"Ignore Images that Contain","Ignore Images that Contain"
"CMS Pages","CMS Pages"
"Home Page","Home Page"
"Product Pages","Product Pages"
"Lazy Load","Lazy Load"
General,General
"Enable Module","Enable Module"
"User Agent","User Agent"
"Use User Agent for Loading Images","Use User Agent for Loading Images"
